date,year,month,day_of_week,hour,is_weekend,season,weather,temperature_c,humidity,windspeed_kmh,air_quality_index,holiday,working_day,fuel_price,traffic_index,app_active_users,promotion_active,city_zone,near_metro_station,special_event,bike_station_capacity,bike_demand
28-12-2025,2025,12,6,6,1,Winter,Mist,14.6,35,9.7,95,0,0,108.2,36.7,29372,0,Tourist Area,0,1,330,432
27-03-2024,2024,3,2,11,0,Spring,Mist,32.9,75,6.5,109,0,1,91.88,56.5,18348,1,University Area,0,0,162,522
03-01-2023,2023,1,1,15,0,Winter,Cloudy,18.8,34,21,172,0,1,102.65,79.7,42655,1,University Area,0,0,432,700
07-12-2023,2023,12,3,7,0,Winter,Mist,15.2,78,19.5,90,0,1,110.76,54.4,30120,0,University Area,0,1,290,720
09-02-2023,2023,2,3,11,0,Winter,Cloudy,17.6,42,6,92,0,1,102.77,47.1,14997,0,Commercial,1,0,90,612
19-08-2024,2024,8,0,9,0,Summer,Clear,40.3,48,9.3,66,0,1,107.09,28.3,22138,0,Business District,0,0,466,594
19-05-2024,2024,5,6,21,1,Spring,Cloudy,36,34,15.9,174,0,0,98.57,65.3,43365,0,Commercial,1,1,434,611
10-04-2023,2023,4,0,16,0,Spring,Cloudy,26.9,35,10.7,66,0,1,102.71,46.4,46542,0,Residential,0,0,111,686
16-01-2024,2024,1,1,5,0,Winter,Mist,23.1,64,20.5,135,1,0,106.63,56.4,35048,0,Business District,1,0,126,463
02-08-2023,2023,8,2,12,0,Summer,Clear,34.1,57,18.4,118,0,1,98.71,68.9,21089,0,Commercial,1,0,462,628
12-05-2025,2025,5,0,18,0,Spring,Clear,22.2,77,6.3,193,0,1,93.39,30.6,44543,1,Residential,0,1,292,798
18-10-2023,2023,10,2,18,0,Autumn,Mist,25.1,45,8.7,134,0,1,105.92,66.7,33990,0,Residential,0,0,311,722
11-08-2024,2024,8,6,14,1,Summer,Clear,47.5,37,21.5,100,0,0,104.86,60.1,8268,0,Commercial,0,0,498,231
17-04-2023,2023,4,0,10,0,Spring,Light Rain,31.4,90,16.6,139,0,1,118.92,73.2,9723,0,Commercial,1,0,192,642
17-04-2025,2025,4,3,17,0,Spring,Clear,15.2,30,12.3,33,0,1,92.1,76.5,5928,0,Residential,0,1,295,724
30-07-2024,2024,7,1,19,0,Summer,Clear,32.2,58,16.5,81,0,1,96.43,47.4,11473,0,Residential,1,0,423,584
23-04-2025,2025,4,2,19,0,Spring,Cloudy,25.6,42,5.2,130,1,0,99.08,64.2,43226,1,Business District,0,0,327,797
06-04-2025,2025,4,6,22,1,Spring,Clear,31.8,64,12.7,141,0,0,111.06,37.2,44774,0,Residential,0,0,344,485
27-05-2023,2023,5,5,13,1,Spring,Clear,30.9,69,14.3,156,0,0,103.56,41,42837,0,Tourist Area,1,0,412,680
29-04-2024,2024,4,0,5,0,Spring,Clear,32.8,30,5.4,95,0,1,106.75,90.7,46382,1,Business District,0,0,162,878
30-09-2025,2025,9,1,8,0,Monsoon,Clear,31.9,82,7.9,114,0,1,97.22,58.2,11431,0,Commercial,1,0,285,516
16-02-2024,2024,2,4,18,0,Winter,Clear,20,41,7.8,143,0,1,106.69,44.1,37755,0,Business District,1,0,247,923
08-06-2023,2023,6,3,18,0,Summer,Clear,33.4,62,9.9,147,0,1,108.53,44.1,44375,0,Residential,1,0,216,687
07-01-2024,2024,1,6,18,1,Winter,Cloudy,7.3,45,16.3,52,0,0,97.4,56.3,48434,1,Commercial,1,0,60,599
21-12-2024,2024,12,5,10,1,Winter,Clear,18.1,59,21.6,177,0,0,104.81,61.2,49040,1,University Area,0,0,297,734
26-01-2024,2024,1,4,21,0,Winter,Light Rain,18.8,83,23.2,71,0,1,116.97,59.2,16151,0,Residential,1,1,188,449
13-09-2023,2023,9,2,7,0,Monsoon,Cloudy,31.5,61,11.6,137,0,1,95.93,86,44181,0,University Area,1,0,418,590
26-12-2023,2023,12,1,18,0,Winter,Clear,14.9,68,18,63,1,0,104.34,66.8,6098,0,Commercial,0,0,378,494
08-08-2025,2025,8,4,15,0,Summer,Heavy Rain,39.4,75,23.7,175,0,1,103.99,38.3,46703,1,Business District,0,1,313,341
09-07-2024,2024,7,1,15,0,Summer,Clear,37.3,65,7.1,92,0,1,107.07,49,24855,1,University Area,1,0,314,690
26-11-2024,2024,11,1,10,0,Autumn,Heavy Rain,16.3,77,26.3,134,0,1,96.76,87.5,19927,0,Residential,1,0,452,292
21-06-2024,2024,6,4,5,0,Summer,Mist,35.4,38,19.2,132,0,1,98.21,45.5,30198,1,Residential,0,0,348,362
10-03-2024,2024,3,6,20,1,Spring,Light Rain,26.3,89,11.7,126,0,0,101.75,37.2,10614,0,Residential,1,0,457,294
14-06-2024,2024,6,4,12,0,Summer,Cloudy,41.8,40,14.8,85,0,1,106.14,43.4,12870,0,Business District,1,0,151,472
21-02-2023,2023,2,1,19,0,Winter,Mist,12.7,58,11,170,0,1,89.71,41.6,38729,1,University Area,1,0,269,705
29-07-2025,2025,7,1,16,0,Summer,Clear,35.5,80,15.8,114,0,1,106.83,49.7,16338,1,Commercial,0,0,119,473
16-12-2025,2025,12,1,7,0,Winter,Clear,18.5,58,6.9,99,0,1,97.26,41,21822,0,Residential,0,0,443,627
09-12-2023,2023,12,5,6,1,Winter,Mist,22.8,45,16.3,141,0,0,113.04,95.3,17634,1,Residential,0,0,345,487
30-05-2024,2024,5,3,17,0,Spring,Cloudy,24.3,44,16.6,96,0,1,107,67.1,13273,0,Residential,0,0,300,672
27-12-2025,2025,12,5,13,1,Winter,Clear,12.4,42,9.2,101,0,0,108.59,62.4,46423,0,Residential,1,0,208,616
20-05-2023,2023,5,5,10,1,Spring,Clear,30.9,63,10.3,74,0,0,98.84,36.2,38309,0,Business District,1,0,301,744
23-10-2024,2024,10,2,15,0,Autumn,Mist,24.2,72,12.4,148,0,1,101.22,79.6,15915,0,University Area,1,0,342,624
18-04-2024,2024,4,3,18,0,Spring,Clear,22.1,45,21.9,122,0,1,98.7,65.9,29633,0,Residential,1,0,90,821
04-01-2023,2023,1,2,21,0,Winter,Cloudy,12.2,46,8.2,156,0,1,106.38,55.1,39001,0,Commercial,1,0,63,574
25-01-2025,2025,1,5,5,1,Winter,Light Rain,17,89,11.6,155,0,0,107.23,63.1,44913,0,Residential,1,0,431,356
13-10-2025,2025,10,0,10,0,Autumn,Mist,22.2,67,8.3,139,0,1,108.26,30.6,5746,0,Commercial,0,0,257,527
20-09-2023,2023,9,2,5,0,Monsoon,Mist,32.1,51,12.7,127,0,1,95.84,35.8,32734,0,University Area,0,0,435,306
23-09-2023,2023,9,5,9,1,Monsoon,Clear,29.8,84,20,122,0,0,102.08,94.5,36226,0,Residential,1,0,248,514
04-11-2025,2025,11,1,9,0,Autumn,Light Rain,23.6,76,19.1,135,0,1,101.53,68.6,6109,0,Business District,0,0,370,515
12-04-2024,2024,4,4,19,0,Spring,Heavy Rain,29.4,78,12.5,81,0,1,98.39,34,39878,1,Business District,0,0,170,509
08-06-2025,2025,6,6,16,1,Summer,Light Rain,35.3,86,19.9,144,0,0,103.6,100,24443,0,Residential,1,0,78,234
21-05-2023,2023,5,6,13,1,Spring,Mist,19.6,31,12.9,88,0,0,102.01,36.4,6752,0,Residential,1,0,388,450
14-03-2024,2024,3,3,13,0,Spring,Mist,18.1,51,11.8,80,0,1,93.55,70.6,15265,1,Residential,0,0,362,595
23-06-2024,2024,6,6,7,1,Summer,Cloudy,45.2,35,20.5,132,0,0,103.46,85.1,15222,0,Residential,0,0,406,333
17-03-2025,2025,3,0,16,0,Spring,Cloudy,33.2,42,13.5,170,1,0,94.12,23.3,30741,1,Residential,0,0,320,370
17-05-2025,2025,5,5,15,1,Spring,Clear,27.6,47,9.2,103,0,0,104.25,59,14742,0,Commercial,1,0,191,534
10-04-2023,2023,4,0,6,0,Spring,Cloudy,31.8,31,13.4,81,0,1,103.87,33.2,22258,0,University Area,1,0,427,617
13-07-2023,2023,7,3,16,0,Summer,Light Rain,38.4,92,11.4,71,0,1,110.85,62,36382,0,Residential,0,0,331,312
26-03-2025,2025,3,2,14,0,Spring,Heavy Rain,33.9,78,16.6,167,0,1,89.29,62.7,34006,0,Residential,1,0,391,202
08-05-2024,2024,5,2,12,0,Spring,Clear,27.4,30,15.2,141,0,1,99.51,68,18844,0,Business District,1,0,62,843
17-01-2023,2023,1,1,21,0,Winter,Clear,23.2,81,9.5,75,0,1,107.29,48.2,10878,0,Business District,1,0,281,712
27-12-2023,2023,12,2,17,0,Winter,Clear,9.5,32,15.2,145,0,1,104.03,54,29710,0,Commercial,1,0,133,757
16-02-2023,2023,2,3,8,0,Winter,Light Rain,15.1,79,30,156,0,1,98.09,68.2,12560,0,Residential,0,0,169,249
29-09-2023,2023,9,4,15,0,Monsoon,Clear,30.4,73,17.6,164,0,1,107.14,77,41897,0,Business District,0,0,142,579
24-10-2023,2023,10,1,9,0,Autumn,Clear,24.7,47,17.6,157,0,1,111.5,45.4,24888,1,Tourist Area,0,0,329,825
06-09-2025,2025,9,5,19,1,Monsoon,Mist,29.7,76,10,99,0,0,116.32,65.7,28148,1,Business District,1,0,459,574
16-04-2025,2025,4,2,7,0,Spring,Light Rain,26.4,70,28.5,85,0,1,107.53,24.1,36702,0,Residential,0,0,494,505
15-07-2025,2025,7,1,10,0,Summer,Light Rain,37.8,94,14.5,122,0,1,97.11,69.7,40101,0,Residential,0,0,491,287
02-03-2023,2023,3,3,10,0,Spring,Cloudy,32.4,34,18.6,112,0,1,104.29,56.8,11992,0,Business District,1,0,373,824
18-11-2023,2023,11,5,15,1,Autumn,Mist,24.5,46,7.6,127,0,0,105.32,53.7,7694,1,Residential,1,0,264,508
05-02-2025,2025,2,2,21,0,Winter,Light Rain,15.8,93,14,87,0,1,108.43,48.6,17705,0,University Area,0,0,327,268
20-11-2023,2023,11,0,22,0,Autumn,Heavy Rain,21.4,93,21.6,99,0,1,96.23,57.9,35661,0,Residential,0,0,379,113
30-03-2025,2025,3,6,19,1,Spring,Light Rain,25,84,24.8,108,0,0,94.85,66.3,43585,0,Commercial,1,0,374,484
25-09-2025,2025,9,3,16,0,Monsoon,Cloudy,27.2,47,14.6,98,0,1,112.59,61.7,33473,0,Residential,0,0,220,429
30-03-2023,2023,3,3,15,0,Spring,Heavy Rain,24.7,84,11.1,138,0,1,102.24,42,34323,0,Business District,0,0,452,413
17-02-2024,2024,2,5,17,1,Winter,Heavy Rain,16.6,91,18,104,0,0,107.79,53.8,30569,0,Tourist Area,1,1,108,426
07-12-2023,2023,12,3,11,0,Winter,Mist,11.2,59,15.1,149,0,1,105.96,78.6,7551,0,Business District,1,0,272,578
11-05-2024,2024,5,5,9,1,Spring,Cloudy,28.9,38,20.2,117,0,0,113.4,55.8,41559,1,Residential,0,0,147,639
25-04-2024,2024,4,3,15,0,Spring,Light Rain,21.3,90,15.7,68,1,0,97.9,40.8,36957,0,Residential,0,0,361,274
29-02-2024,2024,2,3,13,0,Winter,Mist,11.7,37,7.5,148,0,1,99.06,51.2,41747,1,Business District,1,0,94,645
03-06-2025,2025,6,1,16,0,Summer,Clear,41.5,60,9.4,159,0,1,99.86,64.1,46195,1,Commercial,0,0,264,637
01-02-2025,2025,2,5,6,1,Winter,Light Rain,20.8,80,26.7,181,0,0,100.92,73.1,42705,0,Residential,0,0,112,124
17-08-2025,2025,8,6,19,1,Summer,Clear,33.6,79,10.6,145,0,0,111.21,47.7,7766,0,Residential,1,0,132,425
28-02-2023,2023,2,1,22,0,Winter,Clear,21.1,33,7.6,162,0,1,110,66.2,45272,1,Residential,0,0,243,639
19-03-2023,2023,3,6,18,1,Spring,Cloudy,27.7,33,15.9,181,1,0,101.51,36,32968,0,Commercial,0,0,146,584
09-01-2023,2023,1,0,7,0,Winter,Cloudy,15.8,46,8.7,164,0,1,107.8,31.2,7273,0,University Area,0,0,123,550
26-01-2024,2024,1,4,19,0,Winter,Clear,16.5,49,16.1,127,0,1,103.17,43.4,21858,0,Business District,1,0,448,813
25-12-2025,2025,12,3,11,0,Winter,Cloudy,18.8,36,8.4,103,0,1,107.7,55.9,48936,0,University Area,1,0,265,791
06-07-2024,2024,7,5,22,1,Summer,Clear,31.5,65,13.2,99,0,0,110.37,21.7,35083,0,Commercial,1,0,96,351
05-04-2024,2024,4,4,14,0,Spring,Heavy Rain,27.7,81,18.4,132,1,0,94.96,47.6,35161,0,Business District,1,0,494,248
27-09-2024,2024,9,4,11,0,Monsoon,Clear,28.8,81,14.5,184,0,1,92.47,57.4,38535,1,Commercial,0,0,396,460
16-05-2023,2023,5,1,11,0,Spring,Cloudy,35.9,31,16.3,86,0,1,113,23.4,17480,0,Business District,0,0,79,207
20-02-2025,2025,2,3,16,0,Winter,Heavy Rain,14.9,95,13.7,162,0,1,105.87,36.2,36257,0,Residential,1,0,398,256
02-02-2025,2025,2,6,5,1,Winter,Cloudy,16.4,58,12.4,68,0,0,95.76,56.3,8599,1,Commercial,1,0,493,446
16-04-2024,2024,4,1,16,0,Spring,Clear,30.7,53,9.4,155,0,1,117.91,70.9,30097,0,University Area,0,0,270,821
29-07-2024,2024,7,0,8,0,Summer,Clear,40.7,47,21.8,138,0,1,102.14,38.9,20793,0,Commercial,1,0,55,520
26-04-2024,2024,4,4,7,0,Spring,Light Rain,42.5,92,24.9,173,0,1,111.12,31.3,27270,0,Tourist Area,1,0,444,481
30-05-2024,2024,5,3,5,0,Spring,Clear,22.9,69,21,67,1,0,103.04,74.4,49465,0,Commercial,1,0,76,644
18-01-2023,2023,1,2,9,0,Winter,Mist,13.7,36,15.9,97,0,1,94.39,38.5,26393,0,Residential,1,0,346,560
20-01-2025,2025,1,0,16,0,Winter,Light Rain,17.7,72,23.7,140,0,1,94.91,47,17153,0,University Area,0,0,348,267
17-07-2023,2023,7,0,5,0,Summer,Cloudy,27.3,78,12.2,101,0,1,112.93,23.9,33010,0,Commercial,1,0,379,491
01-09-2024,2024,9,6,19,1,Monsoon,Clear,27.7,66,14.2,143,0,0,103.71,99.2,33535,1,University Area,1,0,55,629
16-07-2024,2024,7,1,21,0,Summer,Light Rain,34.1,74,12.5,101,0,1,109.14,50.9,20651,0,Commercial,1,0,451,192
20-10-2024,2024,10,6,12,1,Autumn,Clear,22.4,47,18.6,64,0,0,98.78,47.1,15224,0,Tourist Area,0,0,241,537
11-07-2024,2024,7,3,16,0,Summer,Clear,31,32,21.4,76,0,1,98.94,87.4,11492,0,Commercial,0,0,369,593
20-07-2025,2025,7,6,7,1,Summer,Mist,32.8,67,14.7,135,0,0,99.88,48.4,10796,1,Residential,0,0,154,339
20-04-2024,2024,4,5,20,1,Spring,Clear,20.5,79,10.7,204,0,0,105.34,62.5,38387,0,Business District,0,0,296,737
17-11-2024,2024,11,6,20,1,Autumn,Mist,17.3,30,11.1,92,0,0,110.31,79.1,37593,0,Residential,0,0,55,507
18-05-2024,2024,5,5,19,1,Spring,Heavy Rain,32.9,82,23,97,0,0,105.77,19.4,19122,0,Business District,0,0,391,319
15-03-2023,2023,3,2,17,0,Spring,Clear,21.5,30,9.5,49,0,1,101.8,70.9,10975,0,Business District,1,0,483,940
04-09-2025,2025,9,3,21,0,Monsoon,Clear,33.2,37,14.1,174,0,1,115.03,10,48965,0,Business District,0,0,473,479
28-07-2024,2024,7,6,20,1,Summer,Clear,39.9,49,10.9,97,0,0,97.7,40.9,42242,0,University Area,1,0,471,567
03-04-2023,2023,4,0,20,0,Spring,Clear,30.3,35,20.3,46,0,1,108.54,60.5,47073,0,Commercial,0,0,288,960
04-04-2024,2024,4,3,6,0,Spring,Clear,31.4,52,5.9,115,0,1,85.24,55.8,5424,0,Residential,0,1,280,484
18-06-2025,2025,6,2,11,0,Summer,Clear,47.3,43,7.2,116,1,0,99.74,77.3,23434,0,Residential,0,0,341,372
11-07-2024,2024,7,3,20,0,Summer,Clear,39.9,37,17.4,71,0,1,97.36,88.1,44202,0,Residential,1,0,449,700
26-09-2024,2024,9,3,9,0,Monsoon,Clear,38.1,50,15,50,0,1,105.67,89.5,14946,0,Residential,1,0,453,666
18-03-2024,2024,3,0,16,0,Spring,Clear,30.4,82,7.1,111,0,1,102.85,78.7,43819,1,University Area,1,0,88,973
12-02-2024,2024,2,0,12,0,Winter,Light Rain,17.5,90,24.3,71,0,1,103.01,72,6709,0,University Area,0,0,452,445
09-10-2023,2023,10,0,9,0,Autumn,Cloudy,24,74,19.5,83,1,0,112.86,54.5,27859,0,Tourist Area,1,0,445,705
06-03-2025,2025,3,3,16,0,Spring,Cloudy,35.5,45,5.9,73,0,1,104.06,21.7,8969,1,Commercial,1,0,249,1345
17-03-2024,2024,3,6,5,1,Spring,Clear,27.4,41,8.4,134,0,0,104.84,76.2,32944,0,Commercial,0,0,163,544
14-09-2024,2024,9,5,20,1,Monsoon,Light Rain,31.1,95,18.6,114,1,0,98.81,60.6,21033,0,Commercial,1,0,155,173
17-09-2023,2023,9,6,20,1,Monsoon,Light Rain,30.3,92,24.3,81,0,0,93.28,74.6,36364,0,Commercial,0,0,300,199
19-12-2024,2024,12,3,20,0,Winter,Cloudy,13.7,69,16.5,124,0,1,104.42,49.4,19046,1,University Area,1,0,141,709
13-08-2025,2025,8,2,5,0,Summer,Cloudy,34.8,42,18.2,169,0,1,101.73,39.9,6852,1,Business District,1,0,268,417
08-03-2024,2024,3,4,6,0,Spring,Mist,29.1,68,19.6,153,0,1,107.14,51.8,5513,0,Residential,1,0,494,492
10-09-2025,2025,9,2,19,0,Monsoon,Clear,38.2,81,5.6,138,0,1,101.78,67.3,21726,0,Commercial,0,0,256,448
05-05-2025,2025,5,0,19,0,Spring,Cloudy,21.8,60,21,160,0,1,95.9,19.6,40718,0,University Area,1,0,303,728
04-09-2024,2024,9,2,20,0,Monsoon,Clear,26.9,31,6.8,108,0,1,100.73,79.3,37835,1,Residential,0,0,169,698
19-06-2025,2025,6,3,20,0,Summer,Clear,36.6,38,21,110,0,1,93.01,67.8,11394,1,Business District,1,0,54,668
22-11-2023,2023,11,2,9,0,Autumn,Mist,17.1,73,19.3,98,0,1,101.33,44.6,48131,1,Commercial,0,0,266,654
09-11-2023,2023,11,3,21,0,Autumn,Cloudy,18,40,16,164,0,1,110.21,74.4,13431,0,Business District,1,0,277,686
26-07-2024,2024,7,4,19,0,Summer,Clear,35.8,69,20.9,145,0,1,104.49,58.5,48806,0,Tourist Area,0,0,422,655
11-10-2024,2024,10,4,11,0,Autumn,Mist,25.8,67,5.1,182,0,1,90.04,96.9,39171,0,Commercial,1,0,92,602
24-09-2025,2025,9,2,16,0,Monsoon,Cloudy,34.6,40,17.6,92,0,1,101.05,75.3,41743,0,Residential,1,0,359,453
04-11-2024,2024,11,0,11,0,Autumn,Clear,25.3,71,21.6,30,0,1,100.21,40.5,17359,0,Residential,1,0,114,574
29-12-2025,2025,12,0,9,0,Winter,Mist,10.2,32,20.6,113,0,1,95.66,57.7,10718,0,Residential,0,0,393,512
28-09-2024,2024,9,5,5,1,Monsoon,Clear,34.6,43,6.7,99,0,0,110.92,81.2,48918,0,Residential,1,0,85,387
19-11-2023,2023,11,6,7,1,Autumn,Cloudy,22.3,46,18.8,85,0,0,96.23,59.7,25119,0,Business District,1,1,209,794
31-10-2025,2025,10,4,17,0,Autumn,Clear,26.1,67,15,146,0,1,93.3,58.4,13981,1,Commercial,0,0,413,738
02-03-2025,2025,3,6,11,1,Spring,Clear,26.2,50,19.6,160,0,0,106.79,53.2,8397,1,University Area,0,0,433,545
01-01-2025,2025,1,2,9,0,Winter,Cloudy,15.4,73,16.5,122,0,1,110.52,56.6,20238,0,Residential,1,0,425,615
18-10-2023,2023,10,2,15,0,Autumn,Clear,28.6,74,20.4,43,0,1,105.3,69.4,13016,0,Residential,1,0,140,619
05-05-2025,2025,5,0,19,0,Spring,Clear,30.4,51,14.4,95,0,1,102.78,69.9,26669,0,Commercial,0,0,60,748
27-10-2024,2024,10,6,12,1,Autumn,Clear,25.9,79,10,150,1,0,98.38,43.7,45975,0,Commercial,1,0,359,662
06-02-2024,2024,2,1,8,0,Winter,Light Rain,19.5,86,20.9,103,0,1,98.54,73.9,46237,0,University Area,1,0,356,660
14-07-2023,2023,7,4,13,0,Summer,Clear,31.2,66,17.9,63,0,1,104.45,83.5,23202,1,Residential,0,0,279,574
31-10-2025,2025,10,4,13,0,Autumn,Cloudy,26.4,31,9.2,93,0,1,102.49,53.8,8339,0,Tourist Area,0,0,73,578
27-01-2025,2025,1,0,7,0,Winter,Clear,14.4,34,10.7,126,0,1,103.37,75.8,13576,0,Business District,0,0,194,731
19-09-2025,2025,9,4,7,0,Monsoon,Clear,31.2,64,20,83,0,1,108.69,78.2,14397,0,Commercial,0,0,315,579
22-12-2023,2023,12,4,12,0,Winter,Clear,12.9,84,15.6,59,0,1,115.26,65,16427,0,University Area,0,0,173,605
03-06-2024,2024,6,0,15,0,Summer,Mist,41.6,67,12.3,129,0,1,108.85,35.6,47745,1,Residential,1,0,220,470
30-03-2024,2024,3,5,8,1,Spring,Clear,29.6,47,14.3,131,0,0,92.68,50.3,7390,0,Commercial,0,0,96,501
05-09-2025,2025,9,4,11,0,Monsoon,Clear,28.1,37,18,113,0,1,115.76,57,34875,1,Business District,1,0,246,734
09-08-2023,2023,8,2,21,0,Summer,Clear,33.5,47,17.5,173,0,1,89.19,72,8745,0,University Area,0,0,305,331
27-02-2024,2024,2,1,9,0,Winter,Clear,14.4,66,18,170,0,1,104.03,37.5,9535,1,University Area,1,0,290,683
20-06-2025,2025,6,4,9,0,Summer,Light Rain,35.9,76,17.1,133,0,1,97.63,57.7,10517,0,Commercial,0,0,466,75
18-05-2023,2023,5,3,19,0,Spring,Clear,15.7,30,16.5,107,0,1,113.97,48.8,46207,1,Business District,1,0,126,1035
18-06-2023,2023,6,6,22,1,Summer,Light Rain,41,94,26.7,52,0,0,107.29,37.7,44764,0,Commercial,1,0,189,142
04-08-2023,2023,8,4,15,0,Summer,Clear,38.5,55,6.1,182,0,1,107.84,55.4,15297,0,Residential,1,0,409,512
14-01-2025,2025,1,1,10,0,Winter,Clear,16.8,35,7,117,0,1,103.16,53.4,27864,0,Commercial,0,0,243,797
24-08-2024,2024,8,5,21,1,Summer,Clear,33.8,53,12.9,97,0,0,105.99,59.4,7663,1,Business District,0,0,421,455
29-03-2025,2025,3,5,21,1,Spring,Mist,23.9,37,13.2,71,0,0,112.64,64.1,22538,0,Commercial,1,0,242,562
04-12-2025,2025,12,3,14,0,Winter,Light Rain,7.3,84,10.3,103,1,0,104.61,92.5,15480,0,Commercial,0,0,306,269
27-08-2024,2024,8,1,11,0,Summer,Mist,37.8,34,5.2,76,0,1,109.03,41.2,43768,0,Residential,1,0,193,500
06-12-2023,2023,12,2,19,0,Winter,Light Rain,10,82,23.9,107,0,1,103.48,50.8,28439,1,Commercial,1,0,261,491
04-12-2023,2023,12,0,20,0,Winter,Clear,9.1,61,20.6,97,1,0,117.28,78.1,33414,0,Tourist Area,1,0,195,763
26-09-2025,2025,9,4,17,0,Monsoon,Light Rain,34.8,74,13.5,30,0,1,117.32,79.6,18032,0,University Area,0,0,366,443
19-01-2024,2024,1,4,17,0,Winter,Clear,19.1,78,8.9,130,0,1,99.5,39.3,11201,0,University Area,1,0,218,697
27-07-2024,2024,7,5,9,1,Summer,Clear,29.4,55,6.1,152,0,0,102.76,42.5,39890,0,Residential,1,0,237,583
10-10-2025,2025,10,4,10,0,Autumn,Mist,26.2,73,20.2,183,0,1,94.46,52.5,7905,0,Residential,0,0,210,506
05-09-2023,2023,9,1,9,0,Monsoon,Light Rain,31.8,82,18.1,177,0,1,91.49,73.7,22228,0,Business District,1,0,178,365
04-11-2025,2025,11,1,16,0,Autumn,Clear,19.8,57,5.6,71,0,1,109.79,72.5,10455,0,Tourist Area,1,0,57,792
10-04-2025,2025,4,3,9,0,Spring,Clear,24.4,49,6.6,201,0,1,110.77,93.8,10924,0,Residential,1,0,115,879
13-07-2025,2025,7,6,22,1,Summer,Light Rain,46.1,83,28.5,99,0,0,95.04,80,42562,1,Residential,0,0,368,120
21-09-2024,2024,9,5,7,1,Monsoon,Light Rain,30.8,80,12.4,111,0,0,113.86,61.5,19522,0,Commercial,0,0,499,213
15-08-2024,2024,8,3,21,0,Summer,Light Rain,36.3,89,12.8,97,0,1,93.25,64.3,33806,0,University Area,0,0,404,178
22-01-2025,2025,1,2,22,0,Winter,Clear,15.7,47,6,121,0,1,99.71,62,45024,0,Business District,1,0,98,695
27-08-2023,2023,8,6,9,1,Summer,Cloudy,42.3,32,18.3,84,0,0,109.58,31.7,26673,0,Tourist Area,0,0,447,441
24-05-2023,2023,5,2,17,0,Spring,Light Rain,27.5,74,29.3,196,0,1,108.98,70.9,25012,0,Commercial,1,0,418,607
09-04-2024,2024,4,1,21,0,Spring,Clear,23.4,65,18.3,137,0,1,104.47,34.1,5052,0,Tourist Area,1,0,235,642
01-10-2024,2024,10,1,16,0,Autumn,Mist,18,42,15.4,112,0,1,102.79,59.2,33800,0,University Area,1,0,346,627
09-05-2024,2024,5,3,14,0,Spring,Mist,26,78,7.5,132,0,1,94.64,66.4,29534,1,Residential,0,0,335,597
03-10-2025,2025,10,4,13,0,Autumn,Clear,25.6,73,17.1,182,0,1,95.93,59.2,32254,0,Residential,1,1,254,674
21-01-2025,2025,1,1,8,0,Winter,Light Rain,23.1,84,20.8,171,0,1,89.05,83.1,14530,0,Commercial,1,0,393,512
04-06-2025,2025,6,2,6,0,Summer,Mist,34.6,35,19.4,184,0,1,99.51,61.4,26923,0,Residential,0,0,304,239
31-05-2024,2024,5,4,9,0,Spring,Clear,24.6,43,8.7,41,1,0,96.62,76.9,35613,1,Commercial,1,0,288,887
30-05-2023,2023,5,1,11,0,Spring,Cloudy,31.2,37,19.1,71,1,0,104.06,53.4,24180,0,Residential,1,0,441,518
